name,description,stars,install_command,verified,repo_url,screenshots
notes,开源版锤子便签，复刻锤科美学，一键Docker私有化部署，支持skill调用，支持dsh plugin，支持多租户，一键生成公众号格式，支持导出便签为图片,150,dsh plugin --profile web add @zhaoolee/dsh-notes,true,https://github.com/zhaoolee/notes,https://raw.githubusercontent.com/zhaoolee/notes/HEAD/README.assets/aab7c89dace491a0c90f98d04f53ab503e755968249ea9a89521f56b69eedeac.png;https://raw.githubusercontent.com/zhaoolee/notes/HEAD/README.assets/e99a408cc01fdffd81fca6dcafc4152b171f0be7d7003032338443197f9e23da.png;https://raw.githubusercontent.com/zhaoolee/notes/HEAD/README.assets/fdf4b92e91f316425ce457400a9219fe91afbd8d87668c32a2c488579f2ac116.png;https://raw.githubusercontent.com/zhaoolee/notes/HEAD/README.assets/a1cc07be6396cb67288b2cebacc26b6746aa0409d976f230b762fcc467706ccc.gif
dsh-super-injector,,145,dsh plugin --profile web add github:yjh051108/dsh-super-injector,true,https://github.com/yjh051108/dsh-super-injector,
dsh-purge,"no more refusals, do everything.",145,dsh plugin --profile web add dsh-purge,true,https://github.com/YuJunZhiXue/dsh-purge,https://raw.githubusercontent.com/YuJunZhiXue/dsh-purge/HEAD/docs/preview/settings.png;https://raw.githubusercontent.com/YuJunZhiXue/dsh-purge/HEAD/docs/banner.svg
TokenLedger,Track token usage with zero setup,142,"dsh plugin --profile web add ""github:zh667/TokenLedger""",true,https://github.com/zh667/TokenLedger,https://raw.githubusercontent.com/zh667/TokenLedger/HEAD/docs/images/panel.png
DSH-Plugins-Marketplace,"DSH插件市场 / DSH Plugin Marketplace: 在 DeepSeek Harness Web GUI 中一键浏览、安装与更新 GitHub topic:dsh-plugin 的全部插件 | browse, install & update all GitHub dsh-plugin plugins in the DSH Web GUI",140,dsh plugin --profile web install bradeGithub/DSH-Plugins-Marketplace,true,https://github.com/bradeGithub/DSH-Plugins-Marketplace,https://repository-images.githubusercontent.com/1333295863/e7bee91f-2802-4861-9a61-59edacfed297;https://raw.githubusercontent.com/bradeGithub/DSH-Plugins-Marketplace/HEAD/assets/social-preview.png
dsh-mobile,DeepSeek Harness 移动端适配与安全访问插件，支持局域网、远程连接、Android App 和手机浏览器。,138,dsh plugin --profile web add dsh-mobile@latest,true,https://github.com/saya-ch/dsh-mobile,https://raw.githubusercontent.com/saya-ch/dsh-mobile/main/assets/brand/repository-hero.png;https://raw.githubusercontent.com/saya-ch/dsh-mobile/main/assets/screenshots/lan-access.png;https://raw.githubusercontent.com/saya-ch/dsh-mobile/main/assets/screenshots/remote-access.png;https://raw.githubusercontent.com/saya-ch/dsh-mobile/main/assets/screenshots/crt-terminal-2.png
dsh-liang-skin,DeepSeek Harness 滑动变阻器皮肤,136,dsh plugin --profile web add 'github:kingOfSoySauce/dsh-liang-skin',true,https://github.com/kingOfSoySauce/dsh-liang-skin,https://raw.githubusercontent.com/kingOfSoySauce/dsh-liang-skin/HEAD/docs/preview.png
dsh-gitbash-preset,DeepSeek Harness 插件：一键安装「极简模式 (Git Bash)」agent preset —— 把 DSH 自带极简模式中的 bash 调用映射到 Git for Windows 的 bash（MSYS），让 Windows 上的极简模式真正可用。,135,dsh plugin --profile web add @icelily/dsh-gitbash-preset,true,https://github.com/liceses/dsh-gitbash-preset,
dsh-remote-web-gateway,手机平板远程 DeepSeek Harness：扫码即可继续使用电脑上的 DSH，无需远程桌面 / SSH / 公网 IP，支持一次性配对、Github授权加密登录，独立设备授权与随时撤销，实现远程连接很简单，但安全才是我们所想要的。,135,dsh plugin --profile web add dsh-remote-web-gateway,true,https://github.com/summer1238/dsh-remote-web-gateway,https://raw.githubusercontent.com/summer1238/dsh-remote-web-gateway/HEAD/docs/assets/hero-zh.png;https://raw.githubusercontent.com/summer1238/dsh-remote-web-gateway/HEAD/docs/assets/mobile-showcase-zh.png;https://raw.githubusercontent.com/summer1238/dsh-remote-web-gateway/HEAD/docs/assets/security-model-zh.png;https://raw.githubusercontent.com/summer1238/dsh-remote-web-gateway/HEAD/docs/assets/architecture-zh.png
Invoice-Downloader,电子发票整理与报销准备工具：从邮箱批量收集 PDF/OFD/XML 发票，OCR 识别、分类归档并生成 Excel 汇总；提供 Windows/macOS 桌面版与 DSH 插件。,134,dsh plugin --profile web add @ethanyoq/dsh-invoice-downloader,true,https://github.com/EthanYoQ/Invoice-Downloader,https://raw.githubusercontent.com/EthanYoQ/Invoice-Downloader/HEAD/docs/track-ab.svg;https://raw.githubusercontent.com/EthanYoQ/Invoice-Downloader/HEAD/docs/funnel.svg
gal-view,把dsh会话界面切换成galgame游戏界面的插件,124,dsh plugin --profile web add github:Ayase34/gal-view#main,true,https://github.com/Ayase34/gal-view,https://raw.githubusercontent.com/Ayase34/gal-view/HEAD/image.png
dsh-auto-mode,Let routine tool calls run without a prompt each time,124,dsh plugin --profile web add @nanmicoder/dsh-auto-mode,true,https://github.com/NanmiCoder/dsh-auto-mode,https://raw.githubusercontent.com/NanmiCoder/dsh-auto-mode/HEAD/assets/readme/hero.svg
dsh-noema,"Give your agent durable, inspectable long-term memory",124,dsh plugin --profile web add @zseven-w/dsh-noema@latest,true,https://github.com/ZSeven-W/dsh-noema,https://raw.githubusercontent.com/ZSeven-W/dsh-noema/HEAD/docs/images/dsh-noema-logo.png;https://raw.githubusercontent.com/ZSeven-W/dsh-noema/HEAD/docs/images/dsh-noema-overview.png
dsh-agent-team-gui,Run persistent multi-model teams with a real console,122,dsh plugin --profile web add -w github:toolclub/dsh-agent-team-gui,true,https://github.com/toolclub/dsh-agent-team-gui,https://raw.githubusercontent.com/toolclub/dsh-agent-team-gui/HEAD/assets/v0.5-teams-settings.png;https://raw.githubusercontent.com/toolclub/dsh-agent-team-gui/HEAD/assets/v0.5-composer-mode.png;https://raw.githubusercontent.com/toolclub/dsh-agent-team-gui/HEAD/assets/v0.5-run-center.png;https://raw.githubusercontent.com/toolclub/dsh-agent-team-gui/HEAD/assets/v0.5-insights.png
dsh-undo-savepoint,"DSH crash-rescue plugin: undo config & plugin-code changes, secret-safe snapshots, one-click SAFE MODE, plus offline CLI/GUI that work even when DSH won't boot.",120,dsh plugin --profile web add github:lire1131/dsh-undo-savepoint#master,true,https://github.com/lire1131/dsh-undo-savepoint,https://repository-images.githubusercontent.com/1333816810/b584673e-31ed-4546-9023-ba3b2c1655f7
dsh-plugin-bridge,"DeepSeek Harness plugin for previewable cross-preset session migration. Fixed-schema handoffs preserve state, source-model intent, and unresolved images; the original session stays untouched.",120,dsh plugin --profile web add github:Totoro-qaq/dsh-plugin-bridge#v0.2.10,true,https://github.com/Totoro-qaq/dsh-plugin-bridge,https://repository-images.githubusercontent.com/1336849011/e8846586-5ad7-4364-8c05-00c1f24c4afb;https://raw.githubusercontent.com/Totoro-qaq/dsh-plugin-bridge/HEAD/assets/cover/cover-en.png;https://raw.githubusercontent.com/Totoro-qaq/dsh-plugin-bridge/main/assets/bridge-demo.en.gif
bibigpt-skill,OpenClaw / Claude Code / Codex Agent skill for summarizing videos/audio via BibiGPT CLI (bibi),114,"dsh plugin --profile web add ""github:JimmyLv/bibigpt-skill#path:/dsh-plugin""",true,https://github.com/JimmyLv/bibigpt-skill,
dsh-usage-stats,See provider balances and quota burn in one panel,114,"dsh plugin --profile web add ""github:Ychris12138/dsh-usage-stats""",true,https://github.com/Ychris12138/dsh-usage-stats,https://raw.githubusercontent.com/Ychris12138/dsh-usage-stats/HEAD/docs/images/usage-panel.svg
humanizer-ru,"Скилл для ИИ-агентов: находит и убирает следы машинной генерации из русского текста. 38 паттернов, 39 regex-маркеров с реестром доказательств, слепые парные прогоны, файловый слой снятия C2PA/EXIF/XMP. Пакет на PyPI и онлайн-демо | Russian AI-writing humanizer skill, PyPI: humanizer-ru, live demo",113,"dsh plugin --profile web add ""github:Vladimir-Human/humanizer-ru#path:/dsh""",true,https://github.com/Vladimir-Human/humanizer-ru,https://repository-images.githubusercontent.com/1139128402/6fd4e927-b1d5-40ec-8080-a2834d58c758
