name,description,stars,install_command,verified,repo_url,screenshots
zat-dsh-engine,"Visual plugin marketplace for DeepSeek Harness — browse, search and install community plugins",79,dsh plugin --profile web add github:mishibeikejie/zat-dsh-engine,true,https://github.com/mishibeikejie/zat-dsh-engine,
dockyard-dsh,A macOS-only native account-pool and provider plugin for DeepSeek Harness.,77,dsh plugin --profile web add github:AITabby/dockyard-dsh,true,https://github.com/AITabby/dockyard-dsh,
sealos-skills,Deploy a project and provision infrastructure from chat,75,dsh plugin --profile web add github:labring/sealos-skills,true,https://github.com/labring/sealos-skills,https://raw.githubusercontent.com/labring/sealos-skills/HEAD/assets/codex-sealos.png
dsh-notification,Get a desktop notification when a turn finishes,74,dsh plugin --profile web add https://github.com/omdsh-dev/dsh-notification/archive/refs/tags/v0.1.3.tar.gz,true,https://github.com/omdsh-dev/dsh-notification,
dsh-automation,DSH 自动化插件：让 Coding 任务按计划在全新 Agent Session 中运行，并由用户或 Agent 创建和管理定时任务。 / Run coding tasks in fresh Agent sessions and manage schedules from DSH Web or an Agent.,74,dsh plugin --profile web add github:titanwings/dsh-automation#v0.1.7,true,https://github.com/titanwings/dsh-automation,https://repository-images.githubusercontent.com/1333150357/8a799a1b-2723-459b-aa88-8f66ee7be53c;https://raw.githubusercontent.com/titanwings/dsh-automation/HEAD/docs/social-preview.png;https://raw.githubusercontent.com/titanwings/dsh-automation/HEAD/docs/01-dashboard-en.png;https://raw.githubusercontent.com/titanwings/dsh-automation/HEAD/docs/02-create-en.png
dsh-qqbot,Wire a QQ bot into DSH with Tencent's own plugin,73,dsh plugin --profile qqbot add @tencent-connect/dsh-qqbot,true,https://github.com/tencent-connect/dsh-qqbot,https://raw.githubusercontent.com/tencent-connect/dsh-qqbot/HEAD/docs/assets/qrcode.png
dsh-reverse-skill,"Complete reverse-skill (85 SKILL.md) as a DeepSeek Harness (dsh) Cordis plugin — reverse engineering, authorized pentesting and security research skill pack.",72,dsh plugin add github:dhicoc/dsh-reverse-skill,true,https://github.com/dhicoc/dsh-reverse-skill,
dsh-memory,,71,dsh plugin --profile web add github:seriousz158/dsh-memory,true,https://github.com/seriousz158/dsh-memory,
ru-marketplace-mcp,"Одиннадцать маркетплейсов как MCP-серверы: Wildberries, Ozon, Яндекс Маркет, Детский мир, Авито, AliExpress, Taobao, Мегамаркет, Lamoda, DNS, Ситилинк. Плюс сравнение цен по всем сразу. Только чтение, ключи не нужны.",71,dsh plugin --profile web add github:Vladimir-Human/ru-marketplace-mcp#path:/dsh,true,https://github.com/Vladimir-Human/ru-marketplace-mcp,https://repository-images.githubusercontent.com/1313032827/65deb050-a490-4e10-a3bb-90528f21b78b
forkprobe,Compare multiple skills on the same task and pick the winner.,70,"dsh plugin --profile web add ""github:Jayden-X-L/forkprobe""",true,https://github.com/Jayden-X-L/forkprobe,
dsh-plugin-hub,DeepSeek Harness (DSH) 插件管理面板：一键启用/停用插件 + GitHub dsh-plugin 插件市场，带插件详情与一键安装 | Plugin manager & marketplace for DeepSeek Harness,69,dsh plugin --profile web add github:Noob-stupid/dsh-plugin-hub,true,https://github.com/Noob-stupid/dsh-plugin-hub,https://github.com/user-attachments/assets/ef712900-65ae-4f6f-9584-bacdd8d34ea1;https://github.com/user-attachments/assets/b802d606-14ba-4151-9956-ff642ed12b0a;https://github.com/user-attachments/assets/b26f2f19-0ba4-4be7-9ca1-b3fd4c51a7a8
dsh-turn-delete,Delete one complete turn from a DeepSeek Harness session without deleting the session,67,dsh plugin --profile web add github:hanshenmesen/dsh-turn-delete,true,https://github.com/hanshenmesen/dsh-turn-delete,
dsh-web-plugin-manager,Manage every plugin from one panel,67,dsh plugin --profile web add dsh-web-plugin-manager@latest,true,https://github.com/LX2000WASD/dsh-web-plugin-manager,
dsh-plugins-store,"自动分类、收录和验证 DeepSeek-Harness 社区插件的市场。 Automatically categorize, curate, and validate the DeepSeek-Harness community plugin marketplace.",65,dsh plugin --profile web add npm:dsh-plugins-store,true,https://github.com/ZASENJC/dsh-plugins-store,
deepseek-harness-control-center,"DeepSeek Harness control center for balance, usage, peak/off-peak pricing, encrypted multi-account switching, health checks, reminders, recharge, and session controls. / 余额、用量、峰谷计费、加密多账户、健康检查、提醒、充值与会话控制",63,dsh plugin --profile web add github:feibi-mochi/deepseek-harness-control-center,true,https://github.com/feibi-mochi/deepseek-harness-control-center,
dsh-notifier,Get one notify API and eight channel adapters,62,dsh plugin --profile web add dsh-notifier,true,https://github.com/THEWOLFWALKER/dsh-notifier,https://raw.githubusercontent.com/THEWOLFWALKER/dsh-notifier/HEAD/docs/screenshots/admin-dashboard.png;https://raw.githubusercontent.com/THEWOLFWALKER/dsh-notifier/HEAD/docs/screenshots/admin-notify.png;https://raw.githubusercontent.com/THEWOLFWALKER/dsh-notifier/HEAD/docs/screenshots/admin-bindings.png;https://raw.githubusercontent.com/THEWOLFWALKER/dsh-notifier/HEAD/docs/screenshots/admin-sessions.png
dsh-stock-watch,A股自选股实时行情盯盘插件 - DeepSeek Harness Web 右上角可折叠弹窗,61,dsh plugin --profile web add dsh-stock-watch,true,https://github.com/Awu12277/dsh-stock-watch,https://raw.githubusercontent.com/Awu12277/dsh-stock-watch/HEAD/screenshots/pill.png;https://raw.githubusercontent.com/Awu12277/dsh-stock-watch/HEAD/screenshots/list-dark.png;https://raw.githubusercontent.com/Awu12277/dsh-stock-watch/HEAD/screenshots/detail-minute-dark.png;https://raw.githubusercontent.com/Awu12277/dsh-stock-watch/HEAD/screenshots/detail-kline-dark.png
seektty,Pluggable DeepSeek-colored TUI for DeepSeek Harness,61,dsh plugin --profile tui add https://github.com/Hilbert-beinghappy/seektty/releases/download/v1.2.0/seektty-1.2.0.tgz,true,https://github.com/Hilbert-beinghappy/seektty,https://raw.githubusercontent.com/Hilbert-beinghappy/seektty/HEAD/assets/seektty-tui.png;https://raw.githubusercontent.com/Hilbert-beinghappy/seektty/HEAD/assets/seektty-tui-dark.png;https://raw.githubusercontent.com/Hilbert-beinghappy/seektty/HEAD/assets/seektty-code-light.png;https://raw.githubusercontent.com/Hilbert-beinghappy/seektty/HEAD/assets/seektty-code-dark.png
dsh-memento,Add memory your agent has to ask permission to use,60,dsh plugin --profile web add dsh-memento,true,https://github.com/PerryLink/dsh-memento,
dsh-navbar,DSH 插件：对话节点导航条（右缘节点串快速跳转 user 消息）。官方 bundle 插件，dsh plugin --profile web add 安装,58,"dsh plugin --profile web add ""github:vlln/dsh-navbar#main""",true,https://github.com/vlln/dsh-navbar,https://raw.githubusercontent.com/vlln/dsh-navbar/HEAD/docs/preview/navbar.png
Martty,deepseek-harness-tui（dsh-tui） before. Self-Improvement TUI Plugin of DeepSeek Harness. Everything Here Is Also A Plugin. Martty is a ACP client.,56,dsh plugin --profile martty add martty@latest,true,https://github.com/openma-ai/Martty,https://raw.githubusercontent.com/openma-ai/Martty/HEAD/assets/martty-lockup.svg;https://raw.githubusercontent.com/openma-ai/Martty/HEAD/assets/screenshots/agent-turn.png
plugin-registry,DSH 插件生态基建：薄控制台（浏览器面板管理官方 repository 插件，0 patch）+ make-dsh-plugin skill 官方插件开发引导,56,"dsh plugin --profile web add ""github:vlln/plugin-registry#path:/packages/plugin/console""",true,https://github.com/vlln/plugin-registry,https://raw.githubusercontent.com/vlln/plugin-registry/HEAD/screenshots/console-panel.png
SpecFusion,"在 DeepSeek Harness / Claude Code / Cursor / Codex / Gemini CLI 里直接搜索 20 个中国开放平台的 65,600+ 篇 API 文档；零配置，支持 Skill 与 DSH 原生插件。",55,dsh plugin --profile web add @wxkingstar/specfusion-dsh,true,https://github.com/wxkingstar/SpecFusion,
dsh-open-in-vscode,Open DeepSeek Harness workspace directories in VS Code directly from the web GUI.,54,dsh plugin --profile web add https://github.com/omdsh-dev/dsh-open-in-vscode/archive/refs/tags/v0.1.6.tar.gz,true,https://github.com/omdsh-dev/dsh-open-in-vscode,
DSH-EasyRewrite,"DSH Web内目前最无感的消息撤回、重编辑插件，原版体验，兼容性强，功能简单可开关，设置丰富，现代化轻量ui框架。The most seamless message recall & re-edit plugin for DSH Web — native experience, strong compatibility, simple toggles, rich settings, modern lightweight UI. DSH Web で最もシームレスなメッセージ撤回・再編集プラグイン——ネイティブ体験、高い互換性、シンプルなトグル、充実した設定、モダンで軽量な UI。",54,dsh plugin --profile web add github:Renzic-Stone/DSH-EasyRewrite,true,https://github.com/Renzic-Stone/DSH-EasyRewrite,
Mimir,Mimir — 一站式科研工作台插件：LaTeX 论文边写边编译、arXiv 文献管理、实验追踪、指标图表、GPU 服务器 SSH 任务编排，管理科研全周期。An open-source research workbench plugin for the whole research cycle.,53,dsh plugin --profile web add dsh-mimir@latest,true,https://github.com/1692775560/Mimir,https://raw.githubusercontent.com/1692775560/Mimir/HEAD/docs/media/mimir-demo-preview.gif;https://raw.githubusercontent.com/1692775560/Mimir/HEAD/docs/screenshots/tab-paper-compiled.png;https://raw.githubusercontent.com/1692775560/Mimir/HEAD/docs/screenshots/dark-overview.png;https://raw.githubusercontent.com/1692775560/Mimir/HEAD/docs/screenshots/dark-paper.png
local-shell-mcp,Enables LLM to use a cli environment.,53,dsh plugin --profile web add 'github:fwerkor/local-shell-mcp#main',true,https://github.com/fwerkor/local-shell-mcp,https://raw.githubusercontent.com/fwerkor/local-shell-mcp/HEAD/docs/assets/logo.svg
dsh-smooth-stream,DeepSeek Harness Web UI plugin for fluid streaming rendering and silky scrolling. 流畅流式渲染与丝滑滚动。,53,dsh plugin --profile web add dsh-smooth-stream,true,https://github.com/Laplace-bit/dsh-smooth-stream,https://raw.githubusercontent.com/Laplace-bit/dsh-smooth-stream/HEAD/docs/compare.gif
dsh-web-mobile,DSH Web UI 移动端适配：窄屏好用，宽屏适用,53,dsh plugin --profile web add github:mexiaosqwq/dsh-web-mobile,true,https://github.com/mexiaosqwq/dsh-web-mobile,https://raw.githubusercontent.com/mexiaosqwq/dsh-web-mobile/HEAD/assets/banner.png;https://raw.githubusercontent.com/mexiaosqwq/dsh-web-mobile/HEAD/assets/hero.png;https://raw.githubusercontent.com/mexiaosqwq/dsh-web-mobile/HEAD/assets/drawer.png;https://raw.githubusercontent.com/mexiaosqwq/dsh-web-mobile/HEAD/assets/settings.png
dsh-status-rotator,"A DeepSeek Harness (dsh) web plugin that replaces the ""Deep diving…"" turn-status label with phase-aware, typewriter-animated, rainbow-gradient phrases — all configurable from a JSON file.",51,dsh plugin --profile web add dsh-status-rotator,true,https://github.com/01Virex/dsh-status-rotator,
dsh-meme,DeepSeek Harness 的表情包插件——找得到、发得出、学得会，纯文本斗图、情绪主动发图、像 QQ/微信 一样发图、AI 自动学图、自定义表情包 、多种风格随意切换。,51,dsh plugin --profile web add dsh-meme,true,https://github.com/yyh-001/dsh-meme,https://raw.githubusercontent.com/yyh-001/dsh-meme/main/docs/hero.jpg?v=3;https://raw.githubusercontent.com/yyh-001/dsh-meme/main/docs/chat-example.png;https://raw.githubusercontent.com/yyh-001/dsh-meme/main/docs/settings-panel.png;https://raw.githubusercontent.com/yyh-001/dsh-meme/main/docs/quick-picker.png
dsh-deepseek-flow,,50,"dsh plugin --profile web add ""github:kanghelyu/dsh-deepseek-flow#main""",true,https://github.com/kanghelyu/dsh-deepseek-flow,https://raw.githubusercontent.com/kanghelyu/dsh-deepseek-flow/HEAD/docs/images/engdark.png;https://raw.githubusercontent.com/kanghelyu/dsh-deepseek-flow/HEAD/docs/images/englight.png
sandbase-skills,"88 installable open-source Agent Skills for research, social intelligence, marketing, and business workflows—compatible with Codex, Claude Code, Cursor, Gemini CLI, and DeepSeek Harness.",50,dsh plugin --profile web add github:sandbaseai/sandbase-skills,true,https://github.com/sandbaseai/sandbase-skills,https://repository-images.githubusercontent.com/1315919904/0736c5b9-f152-4e43-9211-efae83fc846a;https://raw.githubusercontent.com/sandbaseai/sandbase-skills/HEAD/assets/multi-source-search-workflow.svg
dsh-session-manager,"DSH 会话管理插件：删除（回收站恢复/彻底清除）、统计、继续/暂停、打开日志目录、对话顶部抽屉、工作区分组与排序、上下文压缩阈值设置。DSH session manager: delete with trash/restore/purge, stats, continue/pause, log folder, header drawer, workspace grouping, context compaction threshold.",49,dsh plugin --profile web add 'github:dream12347/dsh-session-manager#v0.2.2',true,https://github.com/dream12347/dsh-session-manager,https://raw.githubusercontent.com/dream12347/dsh-session-manager/HEAD/assets/settings-section.png;https://raw.githubusercontent.com/dream12347/dsh-session-manager/HEAD/assets/header-buttons.png;https://raw.githubusercontent.com/dream12347/dsh-session-manager/HEAD/assets/session-drawer.png;https://raw.githubusercontent.com/dream12347/dsh-session-manager/HEAD/assets/general-settings.png
opencontext,"A temporal context graph, a memory API, retrieval primitives, and a multiple-platform integration mesh — designed to be embedded into any host process.",49,dsh plugin --profile web add dsh-opencontext,true,https://github.com/melandlabs/opencontext,
dsh-prompt-enhancer,DeepSeek Harness (DSH) 插件：✨ 提示词一键增强 + 💬 语音识别（说完自动停·云端/本地双引擎）· 附 🔁 服务异常一键重启,48,dsh plugin --profile web add github:Fishsb/dsh-prompt-enhancer#v3.3.1,true,https://github.com/Fishsb/dsh-prompt-enhancer,https://raw.githubusercontent.com/Fishsb/dsh-prompt-enhancer/HEAD/docs/screenshots/voice-main.png;https://raw.githubusercontent.com/Fishsb/dsh-prompt-enhancer/HEAD/docs/screenshots/voice-settings.png
dsh-auto-collapse,,46,"dsh plugin --profile web add ""github:a179-sanae/dsh-auto-collapse#main""",true,https://github.com/a179-sanae/dsh-auto-collapse,https://raw.githubusercontent.com/a179-sanae/dsh-auto-collapse/HEAD/assets/screenshot.png
dsh-codex,Use your ChatGPT subscription through OpenAI's own Codex sign-in,45,dsh plugin --profile web add dsh-codex,true,https://github.com/Yan-Zero/dsh-codex,
dsh-trace-compare,"Trace Compare & Live Maze for DeepSeek Harness: visualize agent exploration (main path, detours, backtracks) from session logs or live sessions",44,dsh plugin --profile web add dsh-trace-compare,true,https://github.com/lamost423/dsh-trace-compare,https://repository-images.githubusercontent.com/1338527485/b08427a9-91cc-46a1-a155-b0b8b7fd3729;https://raw.githubusercontent.com/lamost423/dsh-trace-compare/HEAD/assets/trace-compare.gif;https://raw.githubusercontent.com/lamost423/dsh-trace-compare/HEAD/assets/live-maze.gif;https://raw.githubusercontent.com/lamost423/dsh-trace-compare/HEAD/assets/long-session.gif
dsh-remote,"Remote access for DeepSeek Harness: account/password auth + MFA (TOTP) login gate, signed session cookies, role-based access, in-browser directory picker, and a Settings page for account management.",44,dsh plugin --profile web add @xgone/dsh-remote,true,https://github.com/xgone/dsh-remote,https://raw.githubusercontent.com/xgone/dsh-remote/HEAD/docs/login-zh.png;https://raw.githubusercontent.com/xgone/dsh-remote/HEAD/docs/settings-zh.png
dsh-benign-exit,"Deterministically annotate benign non-zero bash/pwsh exit codes in DeepSeek Harness (grep 1 = no match, git diff --exit-code = differences, test/which/jq -e) so models stop over-investigating normal results.",43,dsh plugin --profile web add dsh-benign-exit,true,https://github.com/sunruize93-cmyk/dsh-benign-exit,
dsh-mcp-panel,"MCP management console for the official DeepSeek Harness MCP client: /mcp command with health diagnostics and pipeline trial calls, a Settings MCP tab with server CRUD (approval-gated writes, automatic backups) and a tool trial console over the official tool pipeline (Apache-2.0, dsh-plugin).",42,"dsh plugin --profile web add ""github:PerryLink/dsh-mcp-panel#main""",true,https://github.com/PerryLink/dsh-mcp-panel,
dsh-omi-voice,DeepSeek Harness 语音朗读插件：沉浸式听朗读，用豆包 TTS 自然音色读 AI 回复（BYOK · 点读/暂停/继续）,42,"dsh plugin --profile web add ""github:PolinniZhong/dsh-omi-voice#v0.1.2&path:/""",true,https://github.com/PolinniZhong/dsh-omi-voice,https://raw.githubusercontent.com/PolinniZhong/dsh-omi-voice/HEAD/docs/assets/logo.png;https://raw.githubusercontent.com/PolinniZhong/dsh-omi-voice/HEAD/docs/assets/idle.png;https://raw.githubusercontent.com/PolinniZhong/dsh-omi-voice/HEAD/docs/assets/reading.png;https://raw.githubusercontent.com/PolinniZhong/dsh-omi-voice/HEAD/docs/assets/doubao-1-find.png
recruiting-copilot,给 HR / 猎头的 AI 招聘工作流：岗位标准梳理、Boss直聘 + 猎聘双通道寻源初筛、市场人才盘点、简历评估、约面试、候选人台账与日报。可装成 Claude Code 插件或 DeepSeek Harness (dsh) 插件——后者自带可直接上手操作的「招聘浏览器」面板；也能配合任意读 AGENTS.md 的 AI 编程助手使用。,42,dsh plugin --profile web add git+https://github.com/Viy1204/recruiting-copilot.git,true,https://github.com/Viy1204/recruiting-copilot,
dsh-codex-connect,Use openai-codex models and image generation via ChatGPT OAuth for DeepSeek Harness.,41,dsh plugin --profile web add dsh-codex-connect@alpha,true,https://github.com/franksong2702/dsh-codex-connect,https://raw.githubusercontent.com/franksong2702/dsh-codex-connect/main/docs/assets/en/hero.jpg;https://raw.githubusercontent.com/franksong2702/dsh-codex-connect/main/docs/assets/en/plugin-entry.jpg;https://raw.githubusercontent.com/franksong2702/dsh-codex-connect/main/docs/assets/en/oauth-status.jpg;https://raw.githubusercontent.com/franksong2702/dsh-codex-connect/main/docs/assets/en/model-selector.jpg
dsh-plugin-mineru,Turn PDFs and Office files into clean Markdown,41,dsh plugin --profile web add @huanlin/dsh-plugin-mineru,true,https://github.com/HuanLinOTO/dsh-plugin-mineru,
dsh-message-edit,"DSH 插件：分支式消息编辑、重掷、重试与版本时间线 | DSH plugin: branch-based message editing, reroll, retry, version timeline",41,dsh plugin --profile web add dsh-message-edit,true,https://github.com/Moeblack/dsh-message-edit,
dsh-lark,Drive a DSH agent from Lark or Feishu chat,41,dsh plugin --profile web add dsh-lark-channel@latest,true,https://github.com/omdsh-dev/dsh-lark,
ui-status-label,把你鲸鱼娘思考时的 deep diving 自定义成任意你想要的样子,40,dsh plugin --profile web add github:alingalingling/ui-status-label,true,https://github.com/alingalingling/ui-status-label,
dsh-web-search-pro,"Get persistent, cached multi-engine search",40,dsh plugin --profile web add dsh-web-search-pro,true,https://github.com/anweat/dsh-web-search-pro,
dsh-mneme,Store memory as Markdown you can read and edit yourself,40,dsh plugin --profile web add @modusensus/dsh-mneme,true,https://github.com/modusensus/dsh-mneme,https://repository-images.githubusercontent.com/1333254657/9e5e4be6-11e2-492f-804e-59f3504a4a04;https://raw.githubusercontent.com/modusensus/dsh-mneme/HEAD/横幅.png
billion-context-dsh,Model-driven context management (Active Context Pruning / ACP) for the DeepSeek Harness — the model decides when and what to compress. Ported from billion-context-pi (ranxianglei); acp-kernel reused verbatim. CompactionEngine backend with compress/decompress/search_context/acp_status tools.,40,dsh plugin --profile web add billion-context-dsh,true,https://github.com/Tyan66666/billion-context-dsh,
dsh-emoji,让 AI 回复加入自定义表情，支持Bilibili、小红书、贴吧、知乎等多平台表情包，或自定义表情,39,dsh plugin --profile web add dsh-emoji,true,https://github.com/hellodigua/dsh-emoji,https://raw.githubusercontent.com/hellodigua/dsh-emoji/HEAD/assets/readme/banner.png;https://raw.githubusercontent.com/hellodigua/dsh-emoji/HEAD/assets/readme/chat-preview.png;https://raw.githubusercontent.com/hellodigua/dsh-emoji/HEAD/assets/readme/chat-preview.tieba.png;https://raw.githubusercontent.com/hellodigua/dsh-emoji/HEAD/assets/readme/chat-preview.bilibili.png
skillroute,"Local-first skill routing for agent builders — index SKILL.md bundles, get ranked skill plans with confidence and evidence, and serve them to any agent over MCP.",38,dsh plugin --profile web add @skillroute/dsh-plugin,true,https://github.com/erichare/skillroute,https://repository-images.githubusercontent.com/1280553461/07f8dcec-5d8b-459e-a0de-e154ae4fd297;https://raw.githubusercontent.com/erichare/skillroute/HEAD/docs/assets/screenshot-route.svg;https://raw.githubusercontent.com/erichare/skillroute/HEAD/docs/assets/screenshot-traces.svg;https://raw.githubusercontent.com/erichare/skillroute/HEAD/docs/assets/banner.svg
dsh-deepread,"Evidence-first deep reading for AI agents — trace claims, evidence, confidence and knowledge maps across articles, books and PDFs.",38,"dsh plugin --profile web add ""github:xiehuan123/dsh-deepread#v1.0.0""",true,https://github.com/xiehuan123/dsh-deepread,https://raw.githubusercontent.com/xiehuan123/dsh-deepread/HEAD/assets/deepread-demo.svg
dsh-auto-continue,"DSH Web UI plugin: auto-sends 「继续」 to resume requests interrupted by non-human causes — error classification, adaptive backoff, pause, idempotency guard, loop guard, templated resume texts, stats, all configurable from the settings card",36,dsh plugin --profile web add github:HsiangNianian/dsh-auto-continue,true,https://github.com/HsiangNianian/dsh-auto-continue,https://raw.githubusercontent.com/HsiangNianian/dsh-auto-continue/HEAD/docs/demo.svg;https://raw.githubusercontent.com/HsiangNianian/dsh-auto-continue/HEAD/docs/screenshots/07-card-panels.png;https://raw.githubusercontent.com/HsiangNianian/dsh-auto-continue/HEAD/docs/banner.svg
dsh-wsl-workspace,"WSL workspace support for DeepSeek Harness——无缝的 WSL 工作区使用体验，无需在 WSL 之中再安装一个dsh，安装该插件后在 GUI 里直接添加 WSL 工作区即可。WSL workspace support for DeepSeek Harness — Enjoy a seamless WSL workspace experience without needing to install dsh inside WSL. Once this plugin is installed, you can directly add a WSL workspace right from the GUI.",35,dsh plugin --profile web add https://github.com/6Mikao9/dsh-wsl-workspace,true,https://github.com/6Mikao9/dsh-wsl-workspace,https://raw.githubusercontent.com/6Mikao9/dsh-wsl-workspace/HEAD/image-3.png;https://raw.githubusercontent.com/6Mikao9/dsh-wsl-workspace/HEAD/image-2.png
ax-feishu-bridge,飞书/Lark 机器人桥接，同时支持 Pi 和 DeepSeek Harness（DSH）双平台，随时随地远程与你的编程助手对话,35,dsh plugin --profile web add ax-feishu-bridge --ignore-scripts,true,https://github.com/AX1202/ax-feishu-bridge,https://raw.githubusercontent.com/AX1202/ax-feishu-bridge/HEAD/docs/images/1.jpeg
dsh-plugin-hub,DeepSeek Harness 社区内置插件市场（dsh-plugin）— 搜索插件、下载并安装 4000+ 人工精选社区插件，每日更新、完全免费。内置在 Harness「设置 → 插件中心」，无需离开应用即可浏览、搜索、安装各类 AI 插件。,35,dsh plugin --profile web add git+https://github.com/dshplugin/dsh-plugin-hub.git,true,https://github.com/dshplugin/dsh-plugin-hub,https://raw.githubusercontent.com/dshplugin/dsh-plugin-hub/HEAD/docs/assets/logo.svg
dsh-usage-plugin,DeepSeek Harness 用量与消耗插件（dsh-usage-plugin）—— 每次调用的 token 用量/缓存命中统计、峰谷计费、余额查询、CSV/JSON/PNG 导出，可经桌面端一键安装或命令行 dsh plugin add 安装。,35,dsh plugin --profile web add @feiyang666/dsh-usage-plugin,true,https://github.com/feiyang-dev/dsh-usage-plugin,https://repository-images.githubusercontent.com/1334268109/f9a3713a-d077-413b-8f3a-81b0ffed4ace;https://raw.githubusercontent.com/feiyang-dev/dsh-usage-plugin/HEAD/docs/assets/usage-overview.png;https://raw.githubusercontent.com/feiyang-dev/dsh-usage-plugin/HEAD/docs/assets/balance-query.png
dsh-remote,"Remote-work assistant for DeepSeek Harness (DSH): connect SSH (key or password), pick a remote workspace, operate with rw_* tools, and SFTP-mirror it into a real local DSH workspace.",35,dsh plugin add dsh-remote,true,https://github.com/flymysql/dsh-remote,
picturereader,"DSH plugin: pixel-to-text image reading for text-only models. image_scan/image_ocr/image_sample tools + image-reading skill (34-image trained methodology). Pure local, optional PaddleOCR.",35,dsh plugin --profile web add picturereader,true,https://github.com/jing-hy/picturereader,
deepseek-pet,在你的deepseek-harness上养一只吃白饭的大蓝鲸,35,dsh plugin --profile web add github:keleus/deepseek-pet,true,https://github.com/keleus/deepseek-pet,https://raw.githubusercontent.com/keleus/deepseek-pet/HEAD/docs/deepseek-pet-preview.png
dsh-whale-musume,DeepSeek Harness 桌宠插件：元气鲸鱼娘陪你写代码 🐋,35,dsh plugin --profile web add github:Sutera-Diffusus/dsh-whale-musume,true,https://github.com/Sutera-Diffusus/dsh-whale-musume,https://raw.githubusercontent.com/Sutera-Diffusus/dsh-whale-musume/HEAD/docs/images/homepage-promo.png
dsh-memory,AGI 的长期记忆基础设施。让 AI Agent 拥有不可遗忘的自我。跨会话记忆 · 持续学习 · 可审计信任（智能论 v3.2）,32,dsh plugin --profile web add @furongjun1999/dsh-memory,true,https://github.com/FuRongJun-1999/dsh-memory,https://raw.githubusercontent.com/FuRongJun-1999/dsh-memory/HEAD/docs/memory_score.png
dsh-share,DSH 对话分享插件，分享单轮或多轮对话，可导出为图片或 Markdown。Share DSH Q&As or selected conversation groups as PNG or Markdown.,32,dsh plugin --profile web add github:hellodigua/dsh-share#vX.Y.Z,true,https://github.com/hellodigua/dsh-share,https://raw.githubusercontent.com/hellodigua/dsh-share/HEAD/assets/readme/share-selection.webp;https://raw.githubusercontent.com/hellodigua/dsh-share/HEAD/assets/readme/share-dialog.webp
dsh-endfield-ui,Reskin DSH with an industrial fan-art shell,32,dsh plugin --profile web add @rison/dsh-endfield-ui,true,https://github.com/rison114514/dsh-endfield-ui,
dsh-sidebar-qa,一个基于DSH-better-sidebar的侧边栏提问tab，实现类codex的侧边提问或claude code的/btw功能,31,dsh plugin --profile web add dsh-sidebar-qa,true,https://github.com/ChenRuoT/dsh-sidebar-qa,
dsh-pet-remielle,,31,dsh plugin --profile web add github:Gin-7/dsh-pet-remielle,true,https://github.com/Gin-7/dsh-pet-remielle,https://raw.githubusercontent.com/Gin-7/dsh-pet-remielle/HEAD/assets/pets/remielle/01.gif;https://raw.githubusercontent.com/Gin-7/dsh-pet-remielle/HEAD/assets/pets/remielle/02.gif;https://raw.githubusercontent.com/Gin-7/dsh-pet-remielle/HEAD/assets/pets/remielle/03.gif;https://raw.githubusercontent.com/Gin-7/dsh-pet-remielle/HEAD/assets/pets/remielle/04.gif
dsh-personal-directive,harness 破甲插件安装即用,31,dsh plugin --profile web add github:liucaimao2026/dsh-personal-directive,true,https://github.com/liucaimao2026/dsh-personal-directive,
dsh-plugin-guard,Get a safety net before you install anything,31,dsh plugin --profile web add github:lxzy-7/dsh-plugin-guard,true,https://github.com/lxzy-7/dsh-plugin-guard,
deepseek-harness-model-config,,31,dsh plugin --profile web add github:MarvekG/deepseek-harness-model-config,true,https://github.com/MarvekG/deepseek-harness-model-config,https://github.com/user-attachments/assets/945e6566-dca2-45ca-bcc3-4609ea47f079;https://github.com/user-attachments/assets/828f36ea-8a7d-4021-9dbb-253d60a1e949;https://github.com/user-attachments/assets/e185563c-4b89-468f-8463-49463c5b6e41;https://github.com/user-attachments/assets/a9a1e123-1e78-4435-addc-02ded574ba83
dsh-permission-rules,"Write declarative allow, deny, and ask rules for tools",30,dsh plugin --profile web add dsh-permission-rules,true,https://github.com/PerryLink/dsh-permission-rules,
dsh-codex-ui,DSH Codex UI 基于 DeepSeek Harness 的 Codex UI 插件，还原度90%，小细节拉满,29,dsh plugin --profile web add @michengai/dsh-codex-ui@latest --registry=https://registry.npmjs.org/,true,https://github.com/MichengAI/dsh-codex-ui,https://repository-images.githubusercontent.com/1334346564/fcf1e924-0c7c-44ab-af24-0cab532acfce;https://raw.githubusercontent.com/MichengAI/dsh-codex-ui/HEAD/assets/screenshots/conversation-light.png;https://raw.githubusercontent.com/MichengAI/dsh-codex-ui/HEAD/assets/screenshots/conversation.png;https://raw.githubusercontent.com/MichengAI/dsh-codex-ui/HEAD/assets/screenshots/session-menu.png
dsh-plugin-guide,"Installable DSH bundle: the dsh-plugin-guide plugin-development knowledge base as an on-demand agent skill. Official docs archive (EN/ZH), Cordis primer, 114-repo community archive, 1654 archived Discussions, 20+ battle-tested pitfalls.",29,"dsh plugin --profile web add ""github:PerryLink/dsh-plugin-guide#main""",true,https://github.com/PerryLink/dsh-plugin-guide,
